"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP187/2023-2024/1362-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","02-Aug-2023","283000"
"2","Normal/Others","WS/MP187/2023-2024/1363-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"3","Normal/Others","WS/MP187/2023-2024/1364-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"4","Normal/Others","WS/MP187/2023-2024/1365-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"5","Normal/Others","WS/MP187/2023-2024/1367-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","26-Feb-2024","283000"
"6","Normal/Others","WS/MP187/2023-2024/1368-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","23-Feb-2024","283000"
"7","Normal/Others","WS/MP187/2023-2024/1369-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Lights","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","23-Feb-2024","283000"
"8","Normal/Others","WS/MP187/2023-2024/1370-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"9","Normal/Others","WS/MP187/2023-2024/1371-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"10","Normal/Others","WS/MP187/2023-2024/1372-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"11","Normal/Others","WS/MP187/2023-2024/1373-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"12","Normal/Others","WS/MP187/2023-2024/1374-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"13","Normal/Others","WS/MP187/2023-2024/1375-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask StreetLights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"14","Normal/Others","WS/MP187/2023-2024/1376-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"15","Normal/Others","WS/MP187/2023-2024/1377-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MaskStreet Lights ( 6 Light)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"16","Normal/Others","WS/MP187/2023-2024/1378-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"17","Normal/Others","WS/MP187/2023-2024/1379-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street  Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"18","Normal/Others","WS/MP187/2023-2024/1380-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"19","Normal/Others","WS/MP187/2023-2024/1381-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"20","Normal/Others","WS/MP187/2023-2024/1419-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"21","Normal/Others","WS/MP187/2023-2024/1420-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"22","Normal/Others","WS/MP187/2023-2024/1421-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"23","Normal/Others","WS/MP187/2023-2024/1422-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"24","Normal/Others","WS/MP187/2023-2024/1423-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"25","Normal/Others","WS/MP187/2023-2024/1424-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"26","Normal/Others","WS/MP187/2023-2024/1425-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"27","Normal/Others","WS/MP187/2023-2024/1426-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"28","Normal/Others","WS/MP187/2023-2024/1427-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"29","Normal/Others","WS/MP187/2023-2024/1428-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"30","Normal/Others","WS/MP187/2023-2024/1429-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"31","Normal/Others","WS/MP187/2023-2024/1430-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"32","Normal/Others","WS/MP187/2023-2024/1431-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"33","Normal/Others","WS/MP187/2023-2024/1432-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"34","Normal/Others","WS/MP187/2023-2024/1435-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"35","Normal/Others","WS/MP187/2023-2024/1437-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"36","Normal/Others","WS/MP187/2023-2024/1438-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"37","Normal/Others","WS/MP187/2023-2024/1496-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"38","Normal/Others","WS/MP187/2023-2024/1497-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"39","Normal/Others","WS/MP187/2023-2024/1498-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"40","Normal/Others","WS/MP187/2023-2024/1499-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"41","Normal/Others","WS/MP187/2023-2024/1500-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"42","Normal/Others","WS/MP187/2023-2024/1501-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"43","Normal/Others","WS/MP187/2023-2024/1502-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"44","Normal/Others","WS/MP187/2023-2024/1503-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"45","Normal/Others","WS/MP187/2023-2024/1506-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"46","Normal/Others","WS/MP187/2023-2024/1508-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"47","Normal/Others","WS/MP187/2023-2024/1509-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"48","Normal/Others","WS/MP187/2023-2024/1510-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"49","Normal/Others","WS/MP187/2023-2024/1511-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"50","Normal/Others","WS/MP187/2023-2024/1512-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"51","Normal/Others","WS/MP187/2023-2024/1513-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"52","Normal/Others","WS/MP187/2023-2024/1514-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"53","Normal/Others","WS/MP187/2023-2024/1515-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"54","Normal/Others","WS/MP187/2023-2024/1523-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"55","Normal/Others","WS/MP187/2023-2024/1524-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"56","Normal/Others","WS/MP187/2023-2024/1525-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"57","Normal/Others","WS/MP187/2023-2024/1526-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"58","Normal/Others","WS/MP187/2023-2024/1527-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"59","Normal/Others","WS/MP187/2023-2024/1528-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"60","Normal/Others","WS/MP187/2023-2024/1529-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"61","Normal/Others","WS/MP187/2023-2024/1531-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"62","Normal/Others","WS/MP187/2023-2024/1532-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"63","Normal/Others","WS/MP187/2023-2024/1533-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"64","Normal/Others","WS/MP187/2023-2024/1534-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"65","Normal/Others","WS/MP187/2023-2024/1535-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"66","Normal/Others","WS/MP187/2023-2024/1536-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"67","Normal/Others","WS/MP187/2023-2024/1537-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"68","Normal/Others","WS/MP187/2023-2024/1538-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"69","Normal/Others","WS/MP187/2023-2024/1539-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"70","Normal/Others","WS/MP187/2023-2024/1540-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"71","Normal/Others","WS/MP187/2023-2024/1541-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"72","Normal/Others","WS/MP187/2023-2024/1542-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"73","Normal/Others","WS/MP187/2023-2024/1436-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","DUDHIYa MANDIR PILIBHIT","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"74","Normal/Others","WS/MP187/2023-2024/1530-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"75","Normal/Others","WS/MP187/2023-2024/1544-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"76","Normal/Others","WS/MP187/2023-2024/1545-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"77","Normal/Others","WS/MP187/2023-2024/1546-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"78","Normal/Others","WS/MP187/2023-2024/1547-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"79","Normal/Others","WS/MP187/2023-2024/1548-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"80","Normal/Others","WS/MP187/2023-2024/1549-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"81","Normal/Others","WS/MP187/2023-2024/1550-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"82","Normal/Others","WS/MP187/2023-2024/1551-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","283000"
"83","Normal/Others","WS/MP187/2023-2024/1552-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","15-Feb-2024","283000"
"84","Normal/Others","WS/MP187/2023-2024/1553-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","16-Feb-2024","283000"
"85","Normal/Others","WS/MP187/2023-2024/1554-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","16-Feb-2024","283000"
"86","Normal/Others","WS/MP187/2023-2024/1555-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","16-Feb-2024","283000"
"87","Normal/Others","WS/MP187/2023-2024/1556-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","16-Feb-2024","283000"
"88","Normal/Others","WS/MP187/2023-2024/1557-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","16-Feb-2024","283000"
"89","Normal/Others","WS/MP187/2023-2024/1561-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","14-Feb-2024","283000"
"90","Normal/Others","WS/MP187/2023-2024/1562-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","14-Feb-2024","283000"
"91","Normal/Others","WS/MP187/2023-2024/1566-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","11-Feb-2024","283000"
